thorax_q1,thorax_q2,thorax_q3,thorax_q4,thorax_ax,thorax_ay,thorax_az,thorax_gx,thorax_gy,thorax_gz,thorax_mx,thorax_my,thorax_mz,thorax_barometer,thorax_linAcc_x,thorax_linAcc_y,thorax_linAcc_z,thorax_altitude,humerus_q1,humerus_q2,humerus_q3,humerus_q4,humerus_ax,humerus_ay,humerus_az,humerus_gx,humerus_gy,humerus_gz,humerus_mx,humerus_my,humerus_mz,humerus_barometer,humerus_linAcc_x,humerus_linAcc_y,humerus_linAcc_z,humerus_altitude,radius_q1,radius_q2,radius_q3,radius_q4,radius_ax,radius_ay,radius_az,radius_gx,radius_gy,radius_gz,radius_mx,radius_my,radius_mz,radius_barometer,radius_linAcc_x,radius_linAcc_y,radius_linAcc_z,radius_altitude,
0.8237918,+0.8166147,-0.5524189,-0.1672521,+0.0005690,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9273908,-0.3702706,+0.0533394,-0.0009951,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9915926,-0.0637490,-0.1124574,-0.0057812,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.8337899,+0.8166834,-0.5523077,-0.1672838,+0.0006625,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9274318,-0.3701495,+0.0534678,-0.0008943,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9915388,-0.0635801,-0.1130043,-0.0061862,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.8437906,+0.8167118,-0.5522620,-0.1672960,+0.0007507,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9274536,-0.3701075,+0.0533783,-0.0009215,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9915079,-0.0635724,-0.1132738,-0.0062980,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.8537878,+0.8167114,-0.5522490,-0.1673408,+0.0007832,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9274847,-0.3701318,+0.0526660,-0.0009640,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9914846,-0.0636989,-0.1133981,-0.0064510,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.8641834,+0.8167460,-0.5522051,-0.1673167,+0.0007759,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9274926,-0.3701909,+0.0521094,-0.0009763,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9914861,-0.0638772,-0.1132875,-0.0063896,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.8741838,+0.8167797,-0.5521646,-0.1672863,+0.0007637,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9275139,-0.3702225,+0.0515002,-0.0009457,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9914948,-0.0640281,-0.1131340,-0.0062705,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.8841848,+0.8168064,-0.5521311,-0.1672665,+0.0007572,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9275736,-0.3702217,+0.0504237,-0.0007308,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9915239,-0.0643234,-0.1127238,-0.0060052,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.895185,+0.8168131,-0.5520934,-0.1673581,+0.0007591,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9276100,-0.3701940,+0.0499587,-0.0005607,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9915408,-0.0644417,-0.1125184,-0.0058037,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.904744,+0.8168243,-0.5520436,-0.1674676,+0.0007547,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9276829,-0.3701596,+0.0488493,-0.0002808,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9915795,-0.0645897,-0.1121013,-0.0056135,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.9147515,+0.8168628,-0.5519978,-0.1674311,+0.0007395,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9277250,-0.3701235,+0.0483208,-0.0001338,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9915949,-0.0646328,-0.1119344,-0.0057463,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
